timestamp,source_ip,event_type,severity,description
2025-07-31 10:00,192.168.1.100,Brute-force,Medium,"20+ failed SSH logins in under 2 mins from same IP"
2025-07-31 10:05,10.0.0.5,Port Scan,Low,"Scan on ports 22, 80, 3389 flagged by IDS"
2025-07-31 10:10,172.16.0.10,Malware Detected,High,"AV flagged trojan.gen on user machine – quarantined"
2025-07-31 10:15,192.168.1.150,Suspicious Login,Medium,"VPN login from Brazil—user normally logs in from Pune"
2025-07-31 10:20,203.0.113.25,Phishing Email,High,"User clicked link from spoofed \"IT Helpdesk\" email"
2025-07-31 10:25,198.51.100.50,Data Exfiltration Attempt,Critical,"Large upload to external IP via HTTP from dev machine"
2025-07-31 10:30,10.0.0.10,Privilege Escalation,High,"PowerShell run with admin rights by non-admin user"
2025-07-31 10:35,192.168.1.200,Ransomware Activity,Critical,"File renames with .encrypted extension in Documents folder"
2025-07-31 10:40,203.0.113.8,Suspicious DNS Query,Medium,"DNS query to known-bad domain from threat intel"
2025-07-31 10:45,172.16.0.20,Unauthorized Access,High,"RDP login attempt to finance server by disabled account"
2025-07-31 10:50,198.51.100.99,Web Shell Detected,High,"cmd.php detected in webroot with reverse shell activity"
2025-07-31 10:55,192.168.1.105,Malicious Script Execution,Medium,"Script started from Downloads folder attempts outbound call"
2025-07-31 11:00,10.0.0.21,Failed MFA Attempt,Medium,"Multiple failed MFA attempts from unknown device and IP"
2025-07-31 11:05,172.16.0.33,Suspicious Process,Medium,"Unknown binary running as SYSTEM, hash not in whitelist"
2025-07-31 11:10,203.0.113.45,Exploit Attempt,Critical,"Attempted CVE exploit via Outlook (port 443)"
2025-07-31 11:15,192.168.1.101,Unusual Geolocation Login,Medium,"User logged in from two countries in 5 minutes"
2025-07-31 11:20,10.0.0.55,Failed Login Flood,Medium,"Over 100 failed login attempts in 10 mins—likely attack"
2025-07-31 11:25,172.16.0.55,Malware Beaconing,High,"Endpoint beaconing to known malicious C2 IP"
2025-07-31 11:30,192.168.1.60,Configuration Change Alert,Medium,"Firewall rules changed outside maintenance window"
2025-07-31 11:35,10.0.0.61,Suspicious Admin Activity,High,"Admin user created new accounts late night"
2025-07-31 11:40,198.51.100.80,Data Leak,High,"Sensitive documents uploaded to public cloud storage"
2025-07-31 11:45,203.0.113.110,DDOS Attack Detected,Critical,"Multiple SYN Flood packets detected from botnet"
2025-07-31 11:50,172.16.0.70,USB Device Inserted,Low,"Unknown USB drive connected to workstation"
2025-07-31 11:55,192.168.1.75,Failed Software Update,Low,"Multiple failures updating critical endpoint AV signatures"
2025-07-31 12:00,10.0.0.80,VPN Anomaly,Medium,"VPN connected outside normal business hours"
2025-07-31 12:05,198.51.100.90,Phishing Domain Access,High,"User accessed domain flagged for phishing"
2025-07-31 12:10,203.0.113.120,DNS Tunneling,Critical,"High volume DNS TXT requests indicating possible data exfil"
2025-07-31 12:15,172.16.0.85,System Crash Alert,High,"Critical server experienced unexpected reboot"
2025-07-31 12:20,192.168.1.90,Email Spoofing Detected,Medium,"Inbound emails with forged headers detected"
2025-07-31 12:25,10.0.0.95,Credential Dumping Attempt,High,"Mimikatz process detected on workstation"
2025-07-31 12:30,198.51.100.100,Unauthorized Remote Desktop,High,"RDP session from unrecognized IP to critical system"
2025-07-31 12:35,203.0.113.130,Insider Threat Alert,Medium,"Unusual large data access by low-privilege user"
2025-07-31 12:40,172.16.0.90,Suspicious File Download,Medium,"User downloaded encrypted ransomware sample"
2025-07-31 12:45,192.168.1.95,Failed Backup Job,Low,"Scheduled backup failed due to access denied"
2025-07-31 12:50,10.0.1.10,Rogue Wireless Access Point,Critical,"New unauthorized Wi-Fi beacon detected near office"
2025-07-31 12:55,198.51.101.10,SQL Injection Attempt,High,"Web app firewall blocked suspicious SQL payload"
2025-07-31 13:00,203.0.113.140,Cloud API Key Leak,Critical,"Sensitive cloud API keys found in public Github repo"
2025-07-31 13:05,172.16.0.95,PowerShell Suspicious Command,High,"Encoded Base64 command executed via PowerShell"
2025-07-31 13:10,192.168.2.10,Malware Outbreak,High,"Multiple alerts triggered for same malware on subnet"
2025-07-31 13:15,10.0.1.20,VPN Connection Drop,Low,"Repeated VPN disconnects from a known unstable endpoint"
2025-07-31 13:20,198.51.101.20,Brute-force Using Tor Exit Node,Medium,"Login failures coming from known Tor exit IP"
2025-07-31 13:25,203.0.113.150,Sensitive Data Access,Critical,"Access to customer PII data outside normal workload"
2025-07-31 13:30,172.16.1.10,Firmware Tampering,High,"Unexpected changes detected in router firmware"
2025-07-31 13:35,192.168.2.20,Email Attachments Blocked,Medium,"Multiple malware attachments blocked by gateway"
